nama_klasifikasi_barang,jumlah,kd_inventaris,nama_barang
ALAT BANTU RADIOLOGI,10,04.02.19,ALAT BANTU RADIOLOGI
ALAT BANTU RADIOLOGI,1,04.02.19,Alat Bantu Radiologi ( Kaca Mata Pb 0.5 )
ALAT BANTU RADIOLOGI,1,04.02.19,ALAT BANTU RADIOLOGI / SHIELDING
ALAT BANTU RADIOLOGI,4,04.02.19,"ALAT BANTU RADIOLOGI EX. KATETER,SPECULUM, TEMPAT APRON"
ALAT BANTU RADIOLOGI,1,04.02.19,ALAT HSG
ALAT BANTU RADIOLOGI,2,04.02.19,Alat Uretrografi
ALAT BANTU RADIOLOGI,1,04.02.19,Alat USG 
ALAT BANTU RADIOLOGI,4,04.02.19,Apron
ALAT BANTU RADIOLOGI,1,04.02.19,Apron kecil
ALAT BANTU RADIOLOGI,1,04.02.19,Bak Instrumen
ALAT BANTU RADIOLOGI,1,04.02.19,BAK STAINLES
ALAT BANTU RADIOLOGI,1,04.02.19,BAKI LOGAM
ALAT BANTU RADIOLOGI,1,04.02.19,BAKI STAINLESS STEEL
ALAT BANTU RADIOLOGI,1,04.02.19,BAKI STAND X RAY BERDIRI
ALAT BANTU RADIOLOGI,5,04.02.19,BENGKOK
ALAT BANTU RADIOLOGI,2,04.02.19,BENGKOK SS
ALAT BANTU RADIOLOGI,1,04.02.19,BOX HSG (1)
ALAT BANTU RADIOLOGI,1,04.02.19,BOX HSG (2)
ALAT BANTU RADIOLOGI,1,04.02.19,Cephalometri
ALAT BANTU RADIOLOGI,2,04.02.19,COCOR BEBEK
ALAT BANTU RADIOLOGI,2,04.02.19,CONE INDICATOR
ALAT BANTU RADIOLOGI,1,04.02.19,Cone Indikator
ALAT BANTU RADIOLOGI,1,04.02.19,CONTROL TABLE
ALAT BANTU RADIOLOGI,6,04.02.19,Control Table Fluoroscopy
ALAT BANTU RADIOLOGI,2,04.02.19,Control Table General X-Ray
ALAT BANTU RADIOLOGI,1,04.02.19,CORE INDICATOR
ALAT BANTU RADIOLOGI,1,04.02.19,Drypix
ALAT BANTU RADIOLOGI,1,04.02.19,DRYPIX PRINTER
ALAT BANTU RADIOLOGI,1,04.02.19,FCR CAPSUL XL II + DRYPIX PLUS 3 TRAY
ALAT BANTU RADIOLOGI,2,04.02.19,FLEXAVISION SF
ALAT BANTU RADIOLOGI,1,04.02.19,FLUOROSKOPI
ALAT BANTU RADIOLOGI,1,04.02.19,FUJI
ALAT BANTU RADIOLOGI,2,04.02.19,GANTUNGAN APPRON
ALAT BANTU RADIOLOGI,3,04.02.19,Gantungan Baju
ALAT BANTU RADIOLOGI,1,04.02.19,GELAS UKUR
ALAT BANTU RADIOLOGI,3,04.02.19,GRID
ALAT BANTU RADIOLOGI,1,04.02.19,Gunting Klem (1)
ALAT BANTU RADIOLOGI,1,04.02.19,Gunting Klem (2)
ALAT BANTU RADIOLOGI,1,04.02.19,Gunting Klem (3)
ALAT BANTU RADIOLOGI,1,04.02.19,Gunting Klem (4)
ALAT BANTU RADIOLOGI,1,04.02.19,Head Holding Rod Assy
ALAT BANTU RADIOLOGI,1,04.02.19,HEADPHONE
ALAT BANTU RADIOLOGI,2,04.02.19,High Tension Transformator (HTT)
ALAT BANTU RADIOLOGI,1,04.02.19,HSG SET
ALAT BANTU RADIOLOGI,1,04.02.19,HSG TOOL
ALAT BANTU RADIOLOGI,2,04.02.19,Kaca Mata Ro
ALAT BANTU RADIOLOGI,1,04.02.19,KACA PB
ALAT BANTU RADIOLOGI,1,04.02.19,KACA TIMBAL
ALAT BANTU RADIOLOGI,5,04.02.19,KACAMATA PB
ALAT BANTU RADIOLOGI,1,04.02.19,Kacamata Plumbum
ALAT BANTU RADIOLOGI,2,04.02.19,Kaset Film
ALAT BANTU RADIOLOGI,2,04.02.19,Kaset Film (1)
ALAT BANTU RADIOLOGI,2,04.02.19,Kaset Film (2)
ALAT BANTU RADIOLOGI,1,04.02.19,KLEM
ALAT BANTU RADIOLOGI,1,04.02.19,KLEM/GUNTING
ALAT BANTU RADIOLOGI,2,04.02.19,KOM
ALAT BANTU RADIOLOGI,2,04.02.19,KOM BESAR
ALAT BANTU RADIOLOGI,9,04.02.19,KORENTANG
ALAT BANTU RADIOLOGI,1,04.02.19,KRISTELLER VAGINAL SPECULA SET OF 3
ALAT BANTU RADIOLOGI,1,04.02.19,LAMPU BACA FILM
