nama_klasifikasi_barang,jumlah,kd_inventaris,nama_barang
ALAT BANTU RADIOLOGI,2,04.02.19,LAMPU BACA VIEWER
ALAT BANTU RADIOLOGI,2,04.02.19,Lampu Halogen
ALAT BANTU RADIOLOGI,3,04.02.19,LAMPU HSG
ALAT BANTU RADIOLOGI,2,04.02.19,Lampu Sorot
ALAT BANTU RADIOLOGI,1,04.02.19,Lampu Sorot Radiologi
ALAT BANTU RADIOLOGI,1,04.02.19,LCD Proyektor ( Viewer Slide )
ALAT BANTU RADIOLOGI,1,04.02.19,LED FILM VIEWER
ALAT BANTU RADIOLOGI,1,04.02.19,LIGHT CASE
ALAT BANTU RADIOLOGI,1,04.02.19,Light Case Kecil
ALAT BANTU RADIOLOGI,1,04.02.19,MANGKOK
ALAT BANTU RADIOLOGI,1,04.02.19,Marker
ALAT BANTU RADIOLOGI,1,04.02.19,Medical Sterilizer / OVEN
ALAT BANTU RADIOLOGI,1,04.02.19,Meja dorong
ALAT BANTU RADIOLOGI,1,04.02.19,Meja Px Flouroscopy
ALAT BANTU RADIOLOGI,1,04.02.19,MOBILE X RAY
ALAT BANTU RADIOLOGI,1,04.02.19,Nano Sprayer Gun
ALAT BANTU RADIOLOGI,1,04.02.19,OVEN
ALAT BANTU RADIOLOGI,1,04.02.19,OXYGEN REGULATOR
ALAT BANTU RADIOLOGI,1,04.02.19,PANORAMIC ASAHI AUTO ZERO
ALAT BANTU RADIOLOGI,1,04.02.19,PASTOK STAND
ALAT BANTU RADIOLOGI,2,04.02.19,PB/TIMBAL
ALAT BANTU RADIOLOGI,1,04.02.19,Pemotong Kertas
ALAT BANTU RADIOLOGI,1,04.02.19,PENYANGGA KASET FCR PRIMA
ALAT BANTU RADIOLOGI,1,04.02.19,Printer Fuji Film DRYPIX PLUS
ALAT BANTU RADIOLOGI,1,04.02.19,PROBE CONNECTOR 3 PORT
ALAT BANTU RADIOLOGI,1,04.02.19,RADIOGRAPHY CONSOLE
ALAT BANTU RADIOLOGI,1,04.02.19,Rak Kaset
ALAT BANTU RADIOLOGI,1,04.02.19,READER (MOBILE) DI BUS
ALAT BANTU RADIOLOGI,1,04.02.19,READER FUJI FILM
ALAT BANTU RADIOLOGI,2,04.02.19,Salphinograph Riester
ALAT BANTU RADIOLOGI,1,04.02.19,SALPINGOGRAPH
ALAT BANTU RADIOLOGI,1,04.02.19,SALPINGOGRAPH (HSG SET)
ALAT BANTU RADIOLOGI,1,04.02.19,Salpinogram / alat HSG
ALAT BANTU RADIOLOGI,3,04.02.19,SET ALAT HSG
ALAT BANTU RADIOLOGI,3,04.02.19,SET ALAT HSG MANUAL
ALAT BANTU RADIOLOGI,1,04.02.19,SET CONSOLE FCR
ALAT BANTU RADIOLOGI,4,04.02.19,Shielding
ALAT BANTU RADIOLOGI,1,04.02.19,SILDING
ALAT BANTU RADIOLOGI,1,04.02.19,SIMS VAGINAL SPECULA SET OF 3
ALAT BANTU RADIOLOGI,1,04.02.19,SONDE
ALAT BANTU RADIOLOGI,3,04.02.19,SONDE UTERI
ALAT BANTU RADIOLOGI,4,04.02.19,SONDE UTERUS
ALAT BANTU RADIOLOGI,1,04.02.19,SPECULUM
ALAT BANTU RADIOLOGI,2,04.02.19,SPEKULUM SS
ALAT BANTU RADIOLOGI,1,04.02.19,SPEKULUM VAGINA
ALAT BANTU RADIOLOGI,1,04.02.19,STAND BUCKY
ALAT BANTU RADIOLOGI,3,04.02.19,STAND INFUS
ALAT BANTU RADIOLOGI,1,04.02.19,STANDAR INFUS
ALAT BANTU RADIOLOGI,1,04.02.19,STANDARD INFUS
ALAT BANTU RADIOLOGI,1,04.02.19,Standart Infus
ALAT BANTU RADIOLOGI,1,04.02.19,STANDING LAMPU HSG
ALAT BANTU RADIOLOGI,1,04.02.19,Sterilisator 
ALAT BANTU RADIOLOGI,1,04.02.19,STERILITATOR
ALAT BANTU RADIOLOGI,1,04.02.19,STERILIZER KERING 2 PINTU
ALAT BANTU RADIOLOGI,1,04.02.19,SURVEY METER ( ALT UKUR RADIASI )
ALAT BANTU RADIOLOGI,1,04.02.19,TABIR PELINDUNG RADIASI
ALAT BANTU RADIOLOGI,2,04.02.19,Tabir Radiasi
ALAT BANTU RADIOLOGI,1,04.02.19,TEMPAT APRON
ALAT BANTU RADIOLOGI,1,04.02.19,TENTACULUM
ALAT BANTU RADIOLOGI,1,04.02.19,TIANG INFUS
ALAT BANTU RADIOLOGI,2,04.02.19,TLD BADGE
ALAT BANTU RADIOLOGI,1,04.02.19,TRAY KASET 10 SLOT
ALAT BANTU RADIOLOGI,1,04.02.19,Tromol 15
ALAT BANTU RADIOLOGI,5,04.02.19,USG
ALAT BANTU RADIOLOGI,1,04.02.19,VENA VIEWER
ALAT BANTU RADIOLOGI,5,04.02.19,VIEWER
ALAT BANTU RADIOLOGI,1,04.02.19,VIEWER  (ONEMED)
ALAT BANTU RADIOLOGI,1,04.02.19,VIEWER / LIGHT BOX
ALAT BANTU RADIOLOGI,2,04.02.19,Viewer Box
ALAT BANTU RADIOLOGI,1,04.02.19,VIEWER DOUBLE LAMP
ALAT BANTU RADIOLOGI,2,04.02.19,Viewer Film X-Ray
ALAT BANTU RADIOLOGI,1,04.02.19,Viewer LED Double
ALAT BANTU RADIOLOGI,1,04.02.19,VIEWING
ALAT BANTU RADIOLOGI,2,04.02.19,VIEWING BOX
ALAT BANTU RADIOLOGI,1,04.02.19,X-RAY (MOBILE)
ALAT BANTU RADIOLOGI,1,04.02.19,X-Ray Dental
ALAT BANTU RADIOLOGI,1,04.02.19,X-RAY GRID
ALAT BANTU RADIOLOGI,1,04.02.19,X-RAY VIEWER 2 BANK
ALAT BANTU RADIOLOGI,2,04.02.19,Xray Film Viewer
