nama_klasifikasi_barang,kd_inventaris,nama_barang
ALAT LAINNYA,06.03.12,BOR
ALAT LAINNYA,06.03.12,BORGOL
ALAT LAINNYA,06.03.12,BORGOL (HANDCUFF) 1
ALAT LAINNYA,06.03.12,BORGOL (HANDCUFF) 2
ALAT LAINNYA,06.03.12,Botol hand sanitizer
ALAT LAINNYA,06.03.12,BOTOL HANDSANITIZER
ALAT LAINNYA,06.03.12,Botol handsoap
ALAT LAINNYA,06.03.12,Botol sabun cuci tangan
ALAT LAINNYA,06.03.12,Botol spray
ALAT LAINNYA,06.03.12,BOX
ALAT LAINNYA,06.03.12,BOX ADAPTOR CCTV
ALAT LAINNYA,06.03.12,BOX APD GENSET
ALAT LAINNYA,06.03.12,BOX BAJU HAZMAD
ALAT LAINNYA,06.03.12,BOX BARANG
ALAT LAINNYA,06.03.12,BOX BARANG MCU
ALAT LAINNYA,06.03.12,BOX FILE
ALAT LAINNYA,06.03.12,BOX FILE PINK
ALAT LAINNYA,06.03.12,BOX FILE PLASTIK BIRU
ALAT LAINNYA,06.03.12,BOX FILE PLASTIK KUNING
ALAT LAINNYA,06.03.12,BOX FILE PLASTIK UNGU
ALAT LAINNYA,06.03.12,BOX GURAH
ALAT LAINNYA,06.03.12,BOX JAS HUJAN
ALAT LAINNYA,06.03.12,BOX KUNCI
ALAT LAINNYA,06.03.12,BOX KUNCI MOBIL 
ALAT LAINNYA,06.03.12,Box MCU
ALAT LAINNYA,06.03.12,Box Mesin Antrian
ALAT LAINNYA,06.03.12,BOX MOTOR HOME SERVICE
ALAT LAINNYA,06.03.12,BOX PANEL PABX
ALAT LAINNYA,06.03.12,Box Pendingin 12 Lt
ALAT LAINNYA,06.03.12,BOX PENYIMPAN
ALAT LAINNYA,06.03.12,Box Plastik
ALAT LAINNYA,06.03.12,BOX PLASTIK BIRU BESAR
ALAT LAINNYA,06.03.12,BOX PLASTIK HIJAU
ALAT LAINNYA,06.03.12,BOX PLASTIK KECIL
