nama_klasifikasi_barang,jumlah,kd_inventaris,nama_barang
KURSI TUNGGU,1,03.02.04,KURSI BIRU EXCELLENT
KURSI TUNGGU,5,03.02.04,KURSI BIRU FALLAZ
KURSI TUNGGU,11,03.02.04,KURSI BULAT
KURSI TUNGGU,1,03.02.04,Kursi Bulat Biru
KURSI TUNGGU,2,03.02.04,KURSI BUNDAR
KURSI TUNGGU,2,03.02.04,KURSI CAFE (RUSAK)
KURSI TUNGGU,2,03.02.04,Kursi caffe
KURSI TUNGGU,23,03.02.04,KURSI CHITOSE
KURSI TUNGGU,21,03.02.04,Kursi Coklat
KURSI TUNGGU,1,03.02.04,KURSI COKLAT FUTURA
KURSI TUNGGU,4,03.02.04,KURSI DENGAN SANDARAN
KURSI TUNGGU,1,03.02.04,Kursi DOKTER
KURSI TUNGGU,6,03.02.04,Kursi FA Biru
KURSI TUNGGU,1,03.02.04,KURSI FA COKLAT
KURSI TUNGGU,3,03.02.04,KURSI FA GOLD
KURSI TUNGGU,31,03.02.04,Kursi FA Hijau
KURSI TUNGGU,3,03.02.04,Kursi FO
KURSI TUNGGU,3,03.02.04,KURSI FONTE BANQUET GREEN
KURSI TUNGGU,40,03.02.04,Kursi Fonte Banquet Merah
KURSI TUNGGU,13,03.02.04,KURSI FUTURA
KURSI TUNGGU,18,03.02.04,Kursi Futura (Batik)
KURSI TUNGGU,1,03.02.04,Kursi Futura Merah
KURSI TUNGGU,10,03.02.04,KURSI HADAP
KURSI TUNGGU,1,03.02.04,KURSI HADAP BIRU HITAM
KURSI TUNGGU,2,03.02.04,KURSI HADAP DONATI
KURSI TUNGGU,5,03.02.04,KURSI HITAM
KURSI TUNGGU,2,03.02.04,KURSI HITAM BESI
KURSI TUNGGU,14,03.02.04,KURSI HOTEL
KURSI TUNGGU,1,03.02.04,KURSI KAYU
KURSI TUNGGU,6,03.02.04,Kursi Kayu Sofa Abu
KURSI TUNGGU,2,03.02.04,KURSI KAYU SOFA SINGLE
KURSI TUNGGU,3,03.02.04,KURSI KERJA
KURSI TUNGGU,1,03.02.04,KURSI KERJA (C7)
KURSI TUNGGU,1,03.02.04,KURSI KERJA INFORMA
KURSI TUNGGU,1,03.02.04,KURSI KERJA RODA
KURSI TUNGGU,7,03.02.04,KURSI KOTAK PLASTIK
KURSI TUNGGU,2,03.02.04,Kursi kuliah
KURSI TUNGGU,66,03.02.04,Kursi Kuning Batik
KURSI TUNGGU,1,03.02.04,KURSI LAB
KURSI TUNGGU,66,03.02.04,KURSI LIPAT
KURSI TUNGGU,8,03.02.04,KURSI LIPAT ABU ABU
KURSI TUNGGU,38,03.02.04,KURSI LIPAT HITAM
KURSI TUNGGU,4,03.02.04,KURSI LIPAT PUTIH
KURSI TUNGGU,1,03.02.04,KURSI MAKAN
KURSI TUNGGU,1,03.02.04,KURSI MAKAN FUTURA
KURSI TUNGGU,16,03.02.04,KURSI MEETING
KURSI TUNGGU,4,03.02.04,KURSI MEJA
KURSI TUNGGU,479,03.02.04,Kursi Merah
KURSI TUNGGU,2,03.02.04,KURSI MERAH 3 SEAT
KURSI TUNGGU,2,03.02.04,Kursi Merah 3 Seat Stell
KURSI TUNGGU,2,03.02.04,KURSI MERAH 4 SEAT
KURSI TUNGGU,1,03.02.04,Kursi Merah 4 Seat Stell
KURSI TUNGGU,65,03.02.04,Kursi Merah Batik
KURSI TUNGGU,2,03.02.04,KURSI MERAH PLASTIK
KURSI TUNGGU,24,03.02.04,KURSI NAPOLLY COKLAT
KURSI TUNGGU,1,03.02.04,Kursi Operator
KURSI TUNGGU,26,03.02.04,KURSI ORANGE
KURSI TUNGGU,15,03.02.04,Kursi Orange 2 Seat
KURSI TUNGGU,8,03.02.04,Kursi Orange 3 Seat
KURSI TUNGGU,5,03.02.04,Kursi Orange Hitam 2 Seat
KURSI TUNGGU,1,03.02.04,Kursi Orange Hitam 3 Seat
KURSI TUNGGU,7,03.02.04,KURSI OREN 2 SEAT
KURSI TUNGGU,2,03.02.04,KURSI OREN 3 SEAT
KURSI TUNGGU,1,03.02.04,KURSI OREN HITAM
KURSI TUNGGU,1,03.02.04,KURSI OREN PLASTIK
KURSI TUNGGU,1,03.02.04,Kursi Panjang
KURSI TUNGGU,32,03.02.04,KURSI PASIEN
KURSI TUNGGU,1,03.02.04,KURSI PASIEN  (FO 2)
KURSI TUNGGU,1,03.02.04,KURSI PASIEN  (FO 5)
KURSI TUNGGU,16,03.02.04,KURSI PASIEN ABU HITAM 
KURSI TUNGGU,5,03.02.04,Kursi Pasien Orange
KURSI TUNGGU,2,03.02.04,Kursi Pemeriksaan
KURSI TUNGGU,10,03.02.04,Kursi Pendaftaran
KURSI TUNGGU,2,03.02.04,Kursi Persegi Hijau
KURSI TUNGGU,7,03.02.04,KURSI PLASTIK
KURSI TUNGGU,29,03.02.04,Kursi Plastik Biru
KURSI TUNGGU,1,03.02.04,KURSI PLASTIK KOTAK
KURSI TUNGGU,6,03.02.04,KURSI PLASTIK MERAH
KURSI TUNGGU,1,03.02.04,KURSI PLASTIK OREN
KURSI TUNGGU,1,03.02.04,KURSI PLASTIK PUTIH
KURSI TUNGGU,2,03.02.04,KURSI PORSELIN
KURSI TUNGGU,5,03.02.04,KURSI PUTAR BERODA
KURSI TUNGGU,1,03.02.04,KURSI PUTAR HITAM
KURSI TUNGGU,1,03.02.04,KURSI PUTAR TINGGI
KURSI TUNGGU,12,03.02.04,Kursi putih
KURSI TUNGGU,16,03.02.04,KURSI PUTIH BATIK
KURSI TUNGGU,131,03.02.04,KURSI RAPAT
KURSI TUNGGU,4,03.02.04,KURSI RUANG TUNGGU 3 SEAT MERAH
KURSI TUNGGU,2,03.02.04,KURSI SANDAR
KURSI TUNGGU,14,03.02.04,KURSI SENDER PENDEK
KURSI TUNGGU,15,03.02.04,KURSI SENDER TINGGI
KURSI TUNGGU,4,03.02.04,KURSI SOFA
KURSI TUNGGU,3,03.02.04,Kursi soffa tunggu
KURSI TUNGGU,2,03.02.04,Kursi Steel
KURSI TUNGGU,2,03.02.04,KURSI STOOL BULAT
KURSI TUNGGU,4,03.02.04,Kursi Taman
KURSI TUNGGU,76,03.02.04,Kursi tamu
KURSI TUNGGU,2,03.02.04,Kursi tamu Putih Hijau
KURSI TUNGGU,3,03.02.04,KURSI TANPA SANDARAN
KURSI TUNGGU,2,03.02.04,KURSI TANPA SENDERAN 
KURSI TUNGGU,11,03.02.04,Kursi Tg Steel 3 Seat
KURSI TUNGGU,3,03.02.04,Kursi Tg Steel 4 Seat
KURSI TUNGGU,1220,03.02.04,Kursi Tunggu
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU  ( 2 D )
KURSI TUNGGU,2,03.02.04,KURSI TUNGGU  ( 3 D )
KURSI TUNGGU,4,03.02.04,KURSI TUNGGU  ( 4 D )
KURSI TUNGGU,10,03.02.04,KURSI TUNGGU ( abu-abu )
KURSI TUNGGU,29,03.02.04,Kursi Tunggu ( Futura )
KURSI TUNGGU,2,03.02.04,Kursi Tunggu ( Merah Bulat )
KURSI TUNGGU,1,03.02.04,Kursi Tunggu ( Merah Segiempat )
KURSI TUNGGU,7,03.02.04,KURSI TUNGGU ( orange )
KURSI TUNGGU,30,03.02.04,Kursi Tunggu ( Plastik Merah )
KURSI TUNGGU,8,03.02.04,KURSI TUNGGU ( putih )
KURSI TUNGGU,2,03.02.04,KURSI TUNGGU ( soffa )
KURSI TUNGGU,10,03.02.04,KURSI TUNGGU / DAFTAR
KURSI TUNGGU,10,03.02.04,KURSI TUNGGU 2
KURSI TUNGGU,2,03.02.04,KURSI TUNGGU 2 SEAT
KURSI TUNGGU,2,03.02.04,Kursi Tunggu 2 seat (merah hitam)
KURSI TUNGGU,6,03.02.04,KURSI TUNGGU 3
KURSI TUNGGU,8,03.02.04,KURSI TUNGGU 3 SEAT
KURSI TUNGGU,1,03.02.04,Kursi Tunggu 3 Seat (5Pcs)
KURSI TUNGGU,2,03.02.04,Kursi Tunggu 3 seat (merah hitam)
KURSI TUNGGU,1,03.02.04,Kursi Tunggu 3 seat (merah)
KURSI TUNGGU,2,03.02.04,Kursi Tunggu 3 seat (orange)
KURSI TUNGGU,6,03.02.04,Kursi Tunggu 3 Set
KURSI TUNGGU,1,03.02.04,Kursi Tunggu 4
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU 4 SEAT
KURSI TUNGGU,1,03.02.04,Kursi Tunggu 4 Seat (2Pcs)
KURSI TUNGGU,1,03.02.04,Kursi Tunggu 4 seat (merah)
KURSI TUNGGU,2,03.02.04,Kursi Tunggu 4 seat (orange)
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU 4 SEAT OREN
KURSI TUNGGU,3,03.02.04,Kursi Tunggu 4 Set
KURSI TUNGGU,3,03.02.04,KURSI TUNGGU 5 SEAT
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU ABU
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU BESI ABU
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU BIRU OVAL
KURSI TUNGGU,2,03.02.04,Kursi Tunggu Coklat
KURSI TUNGGU,8,03.02.04,KURSI TUNGGU COKLAT 2 SEAT
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU doble input
KURSI TUNGGU,1,03.02.04,Kursi Tunggu Eksekutif (1)
KURSI TUNGGU,1,03.02.04,Kursi Tunggu Eksekutif (2)
KURSI TUNGGU,3,03.02.04,Kursi Tunggu FA Hijau
KURSI TUNGGU,6,03.02.04,KURSI TUNGGU FO
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU FUTURA (MERAH)
KURSI TUNGGU,22,03.02.04,KURSI TUNGGU HITAM
KURSI TUNGGU,83,03.02.04,Kursi Tunggu Merah
KURSI TUNGGU,4,03.02.04,KURSI TUNGGU MERAH 4 SEAT
KURSI TUNGGU,5,03.02.04,KURSI TUNGGU MERAH LIPAT
KURSI TUNGGU,1,03.02.04,Kursi Tunggu Mushola
KURSI TUNGGU,1,03.02.04,KURSI TUNGGU PANJANG
KURSI TUNGGU,13,03.02.04,KURSI TUNGGU PASIEN
KURSI TUNGGU,1,03.02.04,Kursi tunggu pasien 3 sheet
KURSI TUNGGU,2,03.02.04,Kursi tunggu pasien 4 sheet
KURSI TUNGGU,5,03.02.04,Kursi tunggu pasien boston stool
KURSI TUNGGU,1,03.02.04,Kursi tunggu pasien isi 3
KURSI TUNGGU,9,03.02.04,Kursi Tunggu Santai
KURSI TUNGGU,2,03.02.04,KURSI TUNGGU TAMU
KURSI TUNGGU,1,03.02.04,Kusi Merah
KURSI TUNGGU,2,03.02.04,LEMARI ARSIP/DOKUMEN
KURSI TUNGGU,1,03.02.04,LEMARI KABINET
KURSI TUNGGU,1,03.02.04,Single soffa untuk untuk tunggu
KURSI TUNGGU,1,03.02.04,SOFA BEIGE-CORSIATO
KURSI TUNGGU,1,03.02.04,SOFA BENCH
KURSI TUNGGU,1,03.02.04,Sofa Merah 2 Seat
KURSI TUNGGU,1,03.02.04,Sofa Pink
KURSI TUNGGU,1,03.02.04,ZACK TASK CHAIR LOW
